type,slot,youtube_id,quiz_num,question_num,stem,correct,distractor_1,distractor_2,distractor_3,distractor_4,feedback,show_idk,header,body,image_url
text,1,,,,,,,,,,,,What Is AI-Assisted Question Writing?,"Artificial intelligence tools can help nurse educators draft multiple-choice questions (MCQs) faster and more consistently. Rather than replacing educator judgment, AI acts as a first-draft partner: it generates candidate items based on a topic prompt, which the educator then reviews, revises, and validates before use in assessments.",
text_image,2,,,,,,,,,,,,"The Human-AI Collaboration Cycle","Effective AI-assisted development follows an iterative loop. The educator supplies a clinical topic and learning objective; the AI generates a draft question with distractors; the educator reviews for accuracy, alignment, and bias; and the refined item enters the item bank. This cycle—shown in the diagram—ensures clinical accuracy is never sacrificed for speed.",test.png
video,3,dQw4w9WgXcQ,,,,,,,,,,,,
question_image,4,,,,"Based on the rhythm strip shown on the right, which interpretation is most accurate?","Atrial fibrillation","Normal sinus rhythm","Third-degree heart block","Ventricular tachycardia",,"Atrial fibrillation is characterized by the absence of distinct P waves and an irregularly irregular ventricular rhythm, as seen in this strip. Normal sinus rhythm shows regular P waves; third-degree block shows complete AV dissociation; ventricular tachycardia shows wide, rapid complexes.",yes,,,test.png
quiz,5,,1,1,"A nurse is preparing to administer a scheduled dose of metoprolol 25 mg PO. The patient's current heart rate is 48 bpm. What is the nurse's priority action?","Hold the medication and notify the provider","Administer the medication as ordered","Administer half the dose","Document and reassess in one hour",,"Metoprolol is a beta-blocker that further slows heart rate. A resting heart rate below 60 bpm is a standard parameter to hold the dose and consult the provider before administration.",yes,,,
quiz,5,,1,2,"Which laboratory value requires the nurse to hold a scheduled dose of warfarin and contact the provider?","INR of 4.2","INR of 2.1","INR of 1.9","Platelet count of 180,000/µL",,"An INR above 4.0 indicates supratherapeutic anticoagulation and a significant bleeding risk. Therapeutic INR for most indications is 2.0–3.0. An INR of 1.9 is sub-therapeutic, and a platelet count of 180,000 is within normal limits.",yes,,,
text,6,,,,,,,,,,,,"Crafting Effective Distractors","A high-quality MCQ distractor is plausible to a student who lacks the target knowledge but clearly incorrect to a student who possesses it. Common approaches include using answers that reflect a common misconception, represent a related-but-wrong concept, or describe an appropriate action in a different clinical context. AI tools can generate a wide pool of candidate distractors quickly, which educators then trim and refine.",
text_image,7,,,,,,,,,,,,"Bloom's Taxonomy and MCQ Difficulty","Not all MCQs test the same cognitive level. Lower-order items ask students to recall or identify; higher-order items ask them to analyze a scenario and apply judgment. The diagram on the right maps common MCQ stem phrases to Bloom's levels. When using AI to generate questions, specifying the target level in your prompt ('write an analysis-level question about …') substantially improves output quality.",test.png
video,8,dQw4w9WgXcQ,,,,,,,,,,,,
question_image,9,,,,"Looking at the wound photograph on the right, which stage of pressure injury is most accurately represented?","Stage 3","Stage 1","Stage 2","Unstageable",,"Stage 3 pressure injuries present as full-thickness skin loss with visible subcutaneous tissue but without exposed bone, tendon, or muscle. Stage 1 shows non-blanchable erythema on intact skin; Stage 2 involves partial-thickness loss; an unstageable wound is obscured by slough or eschar.",yes,,,test.png
quiz,10,,2,1,"A patient with chronic kidney disease (CKD) stage 4 is prescribed ibuprofen 400 mg for joint pain. The nurse's best response is to:","Question the order and suggest an alternative analgesic","Administer the medication with food as ordered","Administer a reduced dose of 200 mg","Advise the patient to drink extra fluids before taking it",,"NSAIDs such as ibuprofen reduce renal prostaglandin synthesis and can precipitate acute kidney injury in patients with CKD. The nurse should question the order and discuss safer alternatives (e.g., acetaminophen) with the provider.",yes,,,
quiz,10,,2,2,"A patient receiving IV vancomycin develops flushing, erythema, and pruritus over the face and upper body during the infusion. Which action should the nurse take first?","Slow the infusion rate","Stop the infusion and administer epinephrine","Administer diphenhydramine IV push","Obtain an order for a lower vancomycin dose",,"The presentation describes 'Red Man Syndrome,' a rate-related infusion reaction (not a true allergy) caused by rapid vancomycin administration. The first intervention is to slow or stop the infusion; the reaction typically resolves without epinephrine.",yes,,,
